item,construction,condition,distance,critical_word,sentence,critical_region_surprisal,n_critical_tokens
1,NPZ,ambiguous,d1,deserved,Because the suspect changed the file deserved further investigation during the jury discussions.,24.88469886779785,1
1,NPZ,ambiguous,d2,deserved,Because the suspect changed the confidential file deserved further investigation during the jury discussions.,23.364418029785156,1
1,NPZ,ambiguous,d3,deserved,Because the suspect changed the confidential legal file deserved further investigation during the jury discussions.,22.91347885131836,1
1,NPZ,control,d1,deserved,"Because the suspect changed, the file deserved further investigation during the jury discussions.",16.412080764770508,1
1,NPZ,control,d2,deserved,"Because the suspect changed, the confidential file deserved further investigation during the jury discussions.",16.94105339050293,1
1,NPZ,control,d3,deserved,"Because the suspect changed, the confidential legal file deserved further investigation during the jury discussions.",17.22372055053711,1
2,NPZ,ambiguous,d1,received,After the corrupt politician signed the bill received unwelcome attention from southern voters.,17.290124893188477,1
2,NPZ,ambiguous,d2,received,After the corrupt politician signed the new bill received unwelcome attention from southern voters.,17.776575088500977,1
2,NPZ,ambiguous,d3,received,After the corrupt politician signed the new federal bill received unwelcome attention from southern voters.,17.826644897460938,1
2,NPZ,control,d1,received,"After the corrupt politician signed, the bill received unwelcome attention from southern voters.",8.994625091552734,1
2,NPZ,control,d2,received,"After the corrupt politician signed, the new bill received unwelcome attention from southern voters.",8.643239974975586,1
2,NPZ,control,d3,received,"After the corrupt politician signed, the new federal bill received unwelcome attention from southern voters.",9.107073783874512,1
3,NPZ,ambiguous,d1,disappeared,After the woman moved the mail disappeared mysteriously from the delivery system.,18.240314483642578,1
3,NPZ,ambiguous,d2,disappeared,After the woman moved the important mail disappeared mysteriously from the delivery system.,18.676471710205078,1
3,NPZ,ambiguous,d3,disappeared,After the woman moved the important confidential mail disappeared mysteriously from the delivery system.,18.55179786682129,1
3,NPZ,control,d1,disappeared,"After the woman moved, the mail disappeared mysteriously from the delivery system.",12.200858116149902,1
3,NPZ,control,d2,disappeared,"After the woman moved, the important mail disappeared mysteriously from the delivery system.",9.775464057922363,1
3,NPZ,control,d3,disappeared,"After the woman moved, the important confidential mail disappeared mysteriously from the delivery system.",10.007969856262207,1
4,NPZ,ambiguous,d1,stayed,Although the boy attacked the chicken stayed surprisingly happy as if nothing happened.,19.959638595581055,1
4,NPZ,ambiguous,d2,stayed,Although the boy attacked the small chicken stayed surprisingly happy as if nothing happened.,19.96779441833496,1
4,NPZ,ambiguous,d3,stayed,Although the boy attacked the small white chicken stayed surprisingly happy as if nothing happened.,19.993085861206055,1
4,NPZ,control,d1,stayed,"Although the boy attacked, the chicken stayed surprisingly happy as if nothing happened.",8.075737953186035,1
4,NPZ,control,d2,stayed,"Although the boy attacked, the small chicken stayed surprisingly happy as if nothing happened.",9.894375801086426,1
4,NPZ,control,d3,stayed,"Although the boy attacked, the small white chicken stayed surprisingly happy as if nothing happened.",8.7714204788208,1
