item,construction,condition,distance,critical_region_index,critical_word,sentence
1,NPZ,ambiguous,d1,7,deserved,Because the suspect changed the file deserved further investigation during the jury discussions.
1,NPZ,ambiguous,d2,8,deserved,Because the suspect changed the confidential file deserved further investigation during the jury discussions.
1,NPZ,ambiguous,d3,9,deserved,Because the suspect changed the confidential legal file deserved further investigation during the jury discussions.
1,NPZ,control,d1,7,deserved,"Because the suspect changed, the file deserved further investigation during the jury discussions."
1,NPZ,control,d2,8,deserved,"Because the suspect changed, the confidential file deserved further investigation during the jury discussions."
1,NPZ,control,d3,9,deserved,"Because the suspect changed, the confidential legal file deserved further investigation during the jury discussions."
2,NPZ,ambiguous,d1,8,received,After the corrupt politician signed the bill received unwelcome attention from southern voters.
2,NPZ,ambiguous,d2,9,received,After the corrupt politician signed the new bill received unwelcome attention from southern voters.
2,NPZ,ambiguous,d3,10,received,After the corrupt politician signed the new federal bill received unwelcome attention from southern voters.
2,NPZ,control,d1,8,received,"After the corrupt politician signed, the bill received unwelcome attention from southern voters."
2,NPZ,control,d2,9,received,"After the corrupt politician signed, the new bill received unwelcome attention from southern voters."
2,NPZ,control,d3,10,received,"After the corrupt politician signed, the new federal bill received unwelcome attention from southern voters."
3,NPZ,ambiguous,d1,7,disappeared,After the woman moved the mail disappeared mysteriously from the delivery system.
3,NPZ,ambiguous,d2,8,disappeared,After the woman moved the important mail disappeared mysteriously from the delivery system.
3,NPZ,ambiguous,d3,9,disappeared,After the woman moved the important confidential mail disappeared mysteriously from the delivery system.
3,NPZ,control,d1,7,disappeared,"After the woman moved, the mail disappeared mysteriously from the delivery system."
3,NPZ,control,d2,8,disappeared,"After the woman moved, the important mail disappeared mysteriously from the delivery system."
3,NPZ,control,d3,9,disappeared,"After the woman moved, the important confidential mail disappeared mysteriously from the delivery system."
4,NPZ,ambiguous,d1,7,stayed,Although the boy attacked the chicken stayed surprisingly happy as if nothing happened.
4,NPZ,ambiguous,d2,8,stayed,Although the boy attacked the small chicken stayed surprisingly happy as if nothing happened.
4,NPZ,ambiguous,d3,9,stayed,Although the boy attacked the small white chicken stayed surprisingly happy as if nothing happened.
4,NPZ,control,d1,7,stayed,"Although the boy attacked, the chicken stayed surprisingly happy as if nothing happened."
4,NPZ,control,d2,8,stayed,"Although the boy attacked, the small chicken stayed surprisingly happy as if nothing happened."
4,NPZ,control,d3,9,stayed,"Although the boy attacked, the small white chicken stayed surprisingly happy as if nothing happened."
5,NPZ,ambiguous,d1,8,appeared,After the new doctor left the operation appeared increasingly likely to succeed.
