item,construction,condition,distance,critical_word,sentence,critical_region_surprisal,n_critical_tokens,model
1,NPZ,ambiguous,d1,deserved,Because the suspect changed the file deserved further investigation during the jury discussions.,23.77294921875,1,EleutherAI/pythia-1.4b
1,NPZ,ambiguous,d2,deserved,Because the suspect changed the confidential file deserved further investigation during the jury discussions.,24.041547775268555,1,EleutherAI/pythia-1.4b
1,NPZ,ambiguous,d3,deserved,Because the suspect changed the confidential legal file deserved further investigation during the jury discussions.,23.783458709716797,1,EleutherAI/pythia-1.4b
1,NPZ,control,d1,deserved,"Because the suspect changed, the file deserved further investigation during the jury discussions.",18.816015243530273,1,EleutherAI/pythia-1.4b
1,NPZ,control,d2,deserved,"Because the suspect changed, the confidential file deserved further investigation during the jury discussions.",18.89080238342285,1,EleutherAI/pythia-1.4b
1,NPZ,control,d3,deserved,"Because the suspect changed, the confidential legal file deserved further investigation during the jury discussions.",19.744178771972656,1,EleutherAI/pythia-1.4b
2,NPZ,ambiguous,d1,received,After the corrupt politician signed the bill received unwelcome attention from southern voters.,15.857650756835938,1,EleutherAI/pythia-1.4b
2,NPZ,ambiguous,d2,received,After the corrupt politician signed the new bill received unwelcome attention from southern voters.,15.499347686767578,1,EleutherAI/pythia-1.4b
2,NPZ,ambiguous,d3,received,After the corrupt politician signed the new federal bill received unwelcome attention from southern voters.,15.497970581054688,1,EleutherAI/pythia-1.4b
2,NPZ,control,d1,received,"After the corrupt politician signed, the bill received unwelcome attention from southern voters.",8.908849716186523,1,EleutherAI/pythia-1.4b
2,NPZ,control,d2,received,"After the corrupt politician signed, the new bill received unwelcome attention from southern voters.",8.792799949645996,1,EleutherAI/pythia-1.4b
2,NPZ,control,d3,received,"After the corrupt politician signed, the new federal bill received unwelcome attention from southern voters.",9.106616020202637,1,EleutherAI/pythia-1.4b
3,NPZ,ambiguous,d1,disappeared,After the woman moved the mail disappeared mysteriously from the delivery system.,16.838747024536133,1,EleutherAI/pythia-1.4b
3,NPZ,ambiguous,d2,disappeared,After the woman moved the important mail disappeared mysteriously from the delivery system.,17.204423904418945,1,EleutherAI/pythia-1.4b
3,NPZ,ambiguous,d3,disappeared,After the woman moved the important confidential mail disappeared mysteriously from the delivery system.,17.824886322021484,1,EleutherAI/pythia-1.4b
3,NPZ,control,d1,disappeared,"After the woman moved, the mail disappeared mysteriously from the delivery system.",10.099283218383789,1,EleutherAI/pythia-1.4b
3,NPZ,control,d2,disappeared,"After the woman moved, the important mail disappeared mysteriously from the delivery system.",10.251378059387207,1,EleutherAI/pythia-1.4b
3,NPZ,control,d3,disappeared,"After the woman moved, the important confidential mail disappeared mysteriously from the delivery system.",8.9306640625,1,EleutherAI/pythia-1.4b
4,NPZ,ambiguous,d1,stayed,Although the boy attacked the chicken stayed surprisingly happy as if nothing happened.,20.97470474243164,1,EleutherAI/pythia-1.4b
4,NPZ,ambiguous,d2,stayed,Although the boy attacked the small chicken stayed surprisingly happy as if nothing happened.,20.877954483032227,1,EleutherAI/pythia-1.4b
4,NPZ,ambiguous,d3,stayed,Although the boy attacked the small white chicken stayed surprisingly happy as if nothing happened.,20.028244018554688,1,EleutherAI/pythia-1.4b
4,NPZ,control,d1,stayed,"Although the boy attacked, the chicken stayed surprisingly happy as if nothing happened.",8.730158805847168,1,EleutherAI/pythia-1.4b
4,NPZ,control,d2,stayed,"Although the boy attacked, the small chicken stayed surprisingly happy as if nothing happened.",9.522486686706543,1,EleutherAI/pythia-1.4b
4,NPZ,control,d3,stayed,"Although the boy attacked, the small white chicken stayed surprisingly happy as if nothing happened.",9.00784969329834,1,EleutherAI/pythia-1.4b
5,NPZ,ambiguous,d1,appeared,After the new doctor left the operation appeared increasingly likely to succeed.,15.107792854309082,1,EleutherAI/pythia-1.4b
5,NPZ,ambiguous,d2,appeared,After the new doctor left the complex operation appeared increasingly likely to succeed.,11.960684776306152,1,EleutherAI/pythia-1.4b
5,NPZ,ambiguous,d3,appeared,After the new doctor left the complex surgical operation appeared increasingly likely to succeed.,11.044342994689941,1,EleutherAI/pythia-1.4b
5,NPZ,control,d1,appeared,"After the new doctor left, the operation appeared increasingly likely to succeed.",11.094358444213867,1,EleutherAI/pythia-1.4b
5,NPZ,control,d2,appeared,"After the new doctor left, the complex operation appeared increasingly likely to succeed.",10.728379249572754,1,EleutherAI/pythia-1.4b
5,NPZ,control,d3,appeared,"After the new doctor left, the complex surgical operation appeared increasingly likely to succeed.",11.20250129699707,1,EleutherAI/pythia-1.4b
